application_id,application_date,company,position,location,remote_type,source,status,min_salary_expectation,max_salary_expectation,required_experience_years,tech_stack,sql_required,python_required,tableau_required,powerbi_required,english_required,interview_date,response_date,application_score,company_size,industry,job_url,notes
1,2026-03-23,İş Bankası,Business Analyst,Ankara,On-site,Kariyer.net,HR Screening,80000.0,100000.0,4,"Tableau, SQL, Business Analytics",Yes,Yes,Yes,Yes,Yes,2026-03-26,2026-04-20,72,Startup,Gaming,https://example.com/job/1,
2,2026-02-23,HepsiPay,Business Analyst,Europe Remote,Hybrid,Indeed,Case Study,80000.0,90000.0,1,,No,Yes,Yes,No,Yes,2026-03-12,,62,Enterprise,Telecom,https://example.com/job/2,Strong match with SQL and Python requirements
3,2026-04-04,Turkcell,Reporting Analyst,,,Referral,Offer,100000.0,110000.0,5,"SQL, Power BI, Excel",Yes,Yes,No,Yes,Yes,2026-04-24,2026-04-12,95,Startup,Logistics,https://example.com/job/3,Case study expected
4,2026-02-28,Yapı Kredi,Data Analytics Specialist,Hybrid Istanbul,On-site,Kariyer.net,Rejected,90000.0,120000.0,4,"Python, pandas, Jupyter",Yes,Yes,No,No,No,,2026-03-10,99,Scale-up,SaaS,https://example.com/job/4,Strong match with SQL and Python requirements
5,2026-01-30,Papara,Junior Data Analyst,Remote,On-site,Wellfound,Applied,90000.0,,1,"Power BI, DAX, SQL",No,No,Yes,No,Yes,,,55,Enterprise,Logistics,https://example.com/job/5,Potentially high salary range
6,2026-02-21,Peak Games,Junior Data Analyst,Istanbul,Remote,Company Website,Rejected,60000.0,110000.0,5,"Python, pandas, Jupyter",No,Yes,No,No,No,,2026-03-05,73,Enterprise,E-commerce,https://example.com/job/6,Requires Power BI experience
7,2026-03-29,Midas,Operations Analyst,,Hybrid,LinkedIn,Final Interview,90000.0,100000.0,5,"Excel, SQL, Reporting",Yes,Yes,No,Yes,Yes,2026-04-21,,63,Scale-up,E-commerce,https://example.com/job/7,Potentially high salary range
8,2026-02-11,İş Bankası,Data Analyst,Remote,On-site,Kariyer.net,Offer,90000.0,,0,"Power BI, DAX, SQL",Yes,Yes,Yes,No,Yes,2026-02-14,,56,Corporate,Gaming,https://example.com/job/8,Requires strong English communication
9,2026-04-07,Etiya,Data Analytics Specialist,Hybrid Ankara,Hybrid,Cold Email,Case Study,80000.0,120000.0,0,"SQL, Python, Looker",Yes,Yes,No,Yes,Yes,,,77,Scale-up,E-commerce,https://example.com/job/9,Requires Power BI experience
10,2026-04-01,Getir,Product Analyst,Ankara,On-site,Referral,Applied,70000.0,,2,"Power BI, DAX, SQL",Yes,Yes,No,Yes,No,,,91,Corporate,Gaming,https://example.com/job/10,Requires Power BI experience
11,2026-01-13,Google,Financial Data Analyst,Istanbul,On-site,Kariyer.net,No Response,90000.0,130000.0,0,,No,Yes,Yes,Yes,Yes,,,74,Corporate,Banking,https://example.com/job/11,Banking domain experience preferred
